"wwtp_jurisdiction","wwtp_id","reporting_jurisdiction","sample_location","sample_location_specify","key_plot_id","county_names","county_fips","population_served","date_start","date_end","ptc_15d","detect_prop_15d","percentile","sampling_prior","first_sample_date"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-09-21","2022-10-05",-41,100,83.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-09-26","2022-10-10",-80,80,66,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-09-28","2022-10-12",-66,80,65.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-10-03","2022-10-17",-58,80,60,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-10-05","2022-10-19",-16,80,63.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-10-10","2022-10-24",65,80,55,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-10-12","2022-10-26",-71,100,61.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-10-17","2022-10-31",-7,100,61.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-10-19","2022-11-02",50,100,67.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-10-24","2022-11-07",-3,80,52.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-10-26","2022-11-09",60,80,59.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-10-31","2022-11-14",-66,80,61.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-11-02","2022-11-16",-7,80,63.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-11-07","2022-11-21",124,80,59.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-11-14","2022-11-28",123,100,72.25,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-11-16","2022-11-30",-22,100,76.75,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-11-21","2022-12-05",26,100,73,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-11-23","2022-12-07",130,100,80.75,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-11-28","2022-12-12",157,100,83.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-11-30","2022-12-14",736,100,86.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-12-05","2022-12-19",138,100,91.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-12-07","2022-12-21",-43,100,95,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-12-13","2022-12-27",-69,100,94.5,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-12-15","2022-12-29",-69,100,84.75,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-12-20","2023-01-03",-77,100,76.25,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-12-22","2023-01-05",-63,100,73.5,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-12-26","2023-01-09",-8,100,75.6,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-12-28","2023-01-11",251,100,73,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-01-02","2023-01-16",86,100,76.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-01-04","2023-01-18",-42,100,77.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-01-09","2023-01-23",-85,100,69.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-01-11","2023-01-25",-76,100,65,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-01-16","2023-01-30",17,100,64.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-01-18","2023-02-01",101,100,62.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-01-23","2023-02-06",377,100,65.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-01-25","2023-02-08",-32,80,67.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-01-30","2023-02-13",-85,60,56.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-02-01","2023-02-15",-57,60,53.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-02-06","2023-02-20",-54,40,49.6,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-02-09","2023-02-23",117,50,45.5,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-02-13","2023-02-27",-23,40,38.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-02-15","2023-03-01",16,60,53.6,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-02-20","2023-03-06",394,60,57.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-02-22","2023-03-08",505,80,65,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-02-27","2023-03-13",236,80,68,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-03-01","2023-03-15",-56,100,79.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-03-06","2023-03-20",-52,100,77,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-03-08","2023-03-22",-35,100,74.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-03-13","2023-03-27",97,100,75.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-03-15","2023-03-29",169,100,78.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-03-20","2023-04-03",-44,100,74.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-03-27","2023-04-10",-85,100,69.25,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-03-29","2023-04-12",-79,75,57.5,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-04-03","2023-04-17",20,75,50,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-04-05","2023-04-19",54,75,49.75,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-04-10","2023-04-24",-38,60,41.6,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-04-12","2023-04-26",-56,40,33.6,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-04-17","2023-05-01",-53,40,33,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-04-19","2023-05-03",-35,20,23.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-04-24","2023-05-08",70,0,22,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-04-26","2023-05-10",17,0,22,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-05-01","2023-05-15",-25,0,22,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-05-03","2023-05-17",1,0,21.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-05-08","2023-05-22",-29,0,21.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-05-10","2023-05-24",-2,0,14.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-05-16","2023-05-30",-22,0,15.75,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-05-18","2023-06-01",0,0,9,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-05-22","2023-06-05",0,0,9,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-05-24","2023-06-07",66,20,17,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-05-29","2023-06-12",130,20,24.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-05-31","2023-06-14",31,20,24.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-06-05","2023-06-19",64,40,33.6,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-06-07","2023-06-21",-8,40,39.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-06-12","2023-06-26",-25,20,31.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-06-14","2023-06-28",-26,20,24,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-06-21","2023-07-05",-28,0,16.25,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-06-22","2023-07-06",0,0,9,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-06-26","2023-07-10",97,20,18.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-06-28","2023-07-12",345,40,30.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-07-03","2023-07-17",58,40,30.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-07-05","2023-07-19",-5,33,26.833,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-07-10","2023-07-24",-76,40,30.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-07-12","2023-07-26",-29,40,32.2,"no","2022-08-08"
